// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
LSU,LD64,,ex_Raw,Ru64,1,PCVu64,overload,exclusive,HasIRF64_LSU_CMU_Instrs
LSU,LD32,,ex_Raw,Ru32,1,PCVu32,overload,exclusive,
LSU,LD16,,ex_Raw,Ru16,1,PCVu16,overload,exclusive,
LSU,LD8,,ex_Raw,Ru8,1,PCVu8,overload,exclusive,
,,,,,,,,,
//,,,,,,,,,
//,1.6.6.12 LSU.ST,,,,,,,,
//,,Register indirect store of specified type to memory.,,,,,,,
LSU,ST128,f16_u8,Raw,,2,Rv8f16.Pv8u8,,,HasVRF128
LSU,ST,v8f16_v8u8s,,,2,Rv8f16.Pv8u8,,,HasVRF128
LSU,ST128,f16_u8f,Raw,,2,Rv8f16.Pv8u8,,,HasVRF128
,,,,,,,,,
//,=========================================,,,,,,,,
//, Sub-byte converting loads and stores
//,=========================================,,,,,,,,
LSU,LD32,i4_i8,Raw,Rv4i8,1,PCv4i4,,,
LSU,LD32,u4_u8,Raw,Rv4u8,1,PCv4u4,,,
//,,,,,,,,,
LSU,ST16,i8_i4,Raw,,2,Rv4i8.Pv4i4,sideeffects,,
LSU,ST16,i8_i4s,Raw,,2,Rv4i8.Pv4i4,sideeffects,,
LSU,ST16,u8_u4,Raw,,2,Rv4u8.Pv4u4,sideeffects,,
LSU,ST16,u8_u4s,Raw,,2,Rv4u8.Pv4u4,sideeffects,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.8 SAU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.1 SAU.ABS,,,,,,,,
//,,Short vector/scalar absolute value,,,,,,,
SAU,ABS,i32,,Ri32,1,Ri32,,,
SAU,ABS,i16,,Ri16,1,Ri16,,,
SAU,ABS,i8,,Ri8,1,Ri8,,,
//,,,,,,,,,
SAU,ABS,f32,,Rf32,1,Rf32,,,
SAU,ABS,f16,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.6 SAU.ADIFF,,,,,,,,
//,,,,,,,,,
SAU,ADIFF,i32,,Ri32,2,Ri32.Ri32,,,
SAU,ADIFF,i16,,Ri16,2,Ri16.Ri16,,,
SAU,ADIFF,i8,,Ri8,2,Ri8.Ri8,,,
SAU,ADIFF,u32,,Ru32,2,Ru32.Ru32,,,
SAU,ADIFF,u16,,Ru16,2,Ru16.Ru16,,,
SAU,ADIFF,u8,,Ru8,2,Ru8.Ru8,,,
,,,,,,,,,
SAU,ADIFF,f32,,Rf32,2,Rf32.Rf32,,,
SAU,ADIFF,f16,,Rf16,2,Rf16.Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.9 SAU.ANDX,,,,,,,,
//,,Element-wise AND vector elements,,,,,,,
SAU,ANDX,x32,,Ri32,1,Rv4i32,,,HasVRF128
SAU,ANDX,x16,,Ri16,1,Rv8i16,,,HasVRF128
SAU,ANDX,x8,,Ri8,1,Rv16i8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.10 SAU.ATN,,,,,,,,
//,,FP16 arctangent,,,,,,,
SAU,ATN,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.13 SAU.COS,,,,,,,,
//,,FP16 cosine,,,,,,,
SAU,COS,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.14 SAU.DIV,,,,,,,,
//,,Short vector/scalar division,,,,,,,
SAU,DIV,f32,,Rf32,2,Rf32.Rf32,,,
SAU,DIV,i32,,Ri32,2,Ri32.Ri32,,,
SAU,DIV,u32,,Ru32,2,Ru32.Ru32,,,
SAU,DIV,i16,,Ri16,2,Ri16.Ri16,,,
SAU,DIV,u16,,Ru16,2,Ru16.Ru16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.15 SAU.EXP2,,,,,,,,
//,,FP16 base-2 exponentiation,,,,,,,
SAU,EXP2,f16_l,,Rf16,1,Rf16,,,
SAU,EXP2,f16,vrf,Rf16,2,Rv8f16.#u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//, SAU.TANH,,,,,,,,
//,,FP16 hyperbolic tangent,,,,,,,
SAU,TANH,f16_l,,Rf16,1,Rf16,,,
SAU,TANH,f16,vrf,Rf16,2,Rv8f16.#u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.16 SAU.FRAC,,,,,,,,
//,,Fractional part of floating-point number,,,,,,,
SAU,FRAC,f32,,Rf32,1,Rf32,,,
SAU,FRAC,f16,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.17 SAU.IADDS,,,,,,,,
//,,Short vector/scalar integer addition with saturation. Optional unsigned immediate operand,,,,,,,
SAU,IADDS,i32,,Ri32,2,Ri32.Ri32,,,
SAU,IADDS,u32,,Ru32,2,Ru32.Ru32,,,
SAU,IADDS,i16,,Ri16,2,Ri16.Ri16,,,
SAU,IADDS,u16,,Ru16,2,Ru16.Ru16,,,
SAU,IADDS,i8,,Ri8,2,Ri8.Ri8,,,
SAU,IADDS,u8,,Ru8,2,Ru8.Ru8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.18 SAU.ILMULH,,,,,,,,
//,,Short vector/scalar multiple returning higher-order result,,,,,,,
SAU,ILMULH,i32,,Ri32,2,Ri32.Ri32,,,
SAU,ILMULH,u32,,Ru32,2,Ru32.Ru32,,,
SAU,ILMULH,i16,,Ri16,2,Ri16.Ri16,,,
SAU,ILMULH,u16,,Ru16,2,Ru16.Ru16,,,
SAU,ILMULH,i8,,Ri8,2,Ri8.Ri8,,,
SAU,ILMULH,u8,,Ru8,2,Ru8.Ru8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.19 SAU.IMULS,,,,,,,,
//,,Short vector/scalar integer multiplication with saturation. Optional immediate operand,,,,,,,
SAU,IMULS,i32,,Ri32,2,Ri32.Ri32,,,
SAU,IMULS,u32,,Ru32,2,Ru32.Ru32,,,
SAU,IMULS,i16,,Ri16,2,Ri16.Ri16,,,
SAU,IMULS,u16,,Ru16,2,Ru16.Ru16,,,
SAU,IMULS,i8,,Ri8,2,Ri8.Ri8,,,
SAU,IMULS,u8,,Ru8,2,Ru8.Ru8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.20 SAU.ISUBS,,,,,,,,
//,,Short vector/scalar integer subtraction with saturation. Optional unsigned immediate operand,,,,,,,
SAU,ISUBS,i32,,Ri32,2,Ri32.Ri32,,,
SAU,ISUBS,u32,,Ru32,2,Ru32.Ru32,,,
SAU,ISUBS,i16,,Ri16,2,Ri16.Ri16,,,
SAU,ISUBS,u16,,Ru16,2,Ru16.Ru16,,,
SAU,ISUBS,i8,,Ri8,2,Ri8.Ri8,,,
SAU,ISUBS,u8,,Ru8,2,Ru8.Ru8,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.21 SAU.LOG2,,,,,,,,
//,,FP16 base-2 logarithm,,,,,,,
SAU,LOG2,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.28 SAU.ONESX,,,,,,,,
//,,Long vector ones or zeroes count reduction,,,,,,,
SAU,ONESX,x32,,Ru32,1,Rv4i32,,,HasVRF128
SAU,ONESX,x64,,Ru32,1,Rv8i16,,,HasVRF128
SAU,ONESX,x128,,Ru32,1,Rv16i8,,,HasVRF128
//,,,,,,,,,
SAU,ZEROSX,x32,,Ru32,1,Rv4i32,,,HasVRF128
SAU,ZEROSX,x64,,Ru32,1,Rv8i16,,,HasVRF128
SAU,ZEROSX,x128,,Ru32,1,Rv16i8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.30 SAU.ORX,,,,,,,,
//,,Element-wise OR of vector,,,,,,,
SAU,ORX,x32,,Ri32,1,Rv4i32,,,HasVRF128
SAU,ORX,x16,,Ri16,1,Rv8i16,,,HasVRF128
SAU,ORX,x8,,Ri8,1,Rv16i8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.31 SAU.RCP,,,,,,,,
//,,FP16 reciprocal,,,,,,,
SAU,RCP,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.32 SAU.ROL,,,,,,,,
//,,Scalar rotate left with optional immediate rotate amount,,,,,,,
SAU,ROL,x32,,Ri32,2,Ri32.Ri32,,,
SAU,ROL,x16,,Ri16,2,Ri16.Ri16,,,
SAU,ROL,x8,,Ri8,2,Ri8.Ri8,,,
//,,,,,,,,,
SAU,ROL,x32,,Ri32,2,Ri32.#u5,,,
SAU,ROL,x16,,Ri16,2,Ri16.#u5,,,
SAU,ROL,x8,,Ri8,2,Ri8.#u5,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.33 SAU.RQT,,,,,,,,
//,,FP16 reciprocal square root,,,,,,,
SAU,RQT,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.35 SAU.SHL,,,,,,,,
//,,Short vector/scalar logical shift left with optional immediate shift amount,,,,,,,
SAU,SHL,x32,,Ri32,2,Ri32.Ri32,,,
SAU,SHL,x16,,Ri16,2,Ri16.Ri16,,,
SAU,SHL,x8,,Ri8,2,Ri8.Ri8,,,
SAU,SHL,v2x16,,Rv2i16,2,Rv2i16.Rv2i16,,,
SAU,SHL,v4x8,,Rv4i8,2,Rv4i8.Rv4i8,,,
SAU,SHL,v2x16,,Rv2i16,2,Rv2i16.#i5,,,
SAU,SHL,v4x8,,Rv4i8,2,Rv4i8.#i5,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.36 SAU.SHR,,,,,,,,
//,,Short vector/scalar logical/arithmetic shift right with optional shift amount,,,,,,,
SAU,SHR,i32,,Ri32,2,Ri32.Ri32,,,
SAU,SHR,u32,,Ru32,2,Ru32.Ru32,,,
SAU,SHR,i16,,Ri16,2,Ri16.Ri16,,,
SAU,SHR,u16,,Ru16,2,Ru16.Ru16,,,
SAU,SHR,i8,,Ri8,2,Ri8.Ri8,,,
SAU,SHR,u8,,Ru8,2,Ru8.Ru8,,,
SAU,SHR,v2i16,,Rv2i16,2,Rv2i16.Rv2i16,,,
SAU,SHR,v2u16,,Rv2u16,2,Rv2u16.Rv2u16,,,
SAU,SHR,v4i8,,Rv4i8,2,Rv4i8.Rv4i8,,,
SAU,SHR,v4u8,,Rv4u8,2,Rv4u8.Rv4u8,,,
//,,,,,,,,,
SAU,SHR,i32,,Ri32,2,Ri32.#u5,,,
SAU,SHR,u32,,Ru32,2,Ru32.#u5,,,
SAU,SHR,i16,,Ri16,2,Ri16.#u5,,,
SAU,SHR,u16,,Ru16,2,Ru16.#u5,,,
SAU,SHR,i8,,Ri8,2,Ri8.#u5,,,
SAU,SHR,u8,,Ru8,2,Ru8.#u5,,,
SAU,SHR,v2i16,,Rv2i16,2,Rv2i16.#u5,,,
SAU,SHR,v2u16,,Rv2u16,2,Rv2u16.#u5,,,
SAU,SHR,v4i8,,Rv4i8,2,Rv4i8.#u5,,,
SAU,SHR,v4u8,,Rv4u8,2,Rv4u8.#u5,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.37 SAU.SIN,,,,,,,,
//,,FP16 sine,,,,,,,
SAU,SIN,f16_l,,Rf16,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.38 SAU.SQT,,,,,,,,
//,,FP16 square root,,,,,,,
SAU,SQT,f16_l,,Rf16,1,Rf16,,,
SAU,SQT,f16,vrf,Rf16,2,Rv8f16.#u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.42 SAU.SUMX,,,,,,,,
//,,Sum vector elements to a scalar,,,,,,,
SAU,SUMX,i32,,Ri32,1,Rv4i32,0xF,,HasVRF128
SAU,SUMX,i16,,Ri32,1,Rv8i16,0xF,,HasVRF128
SAU,SUMX,i8,,Ri32,1,Rv16i8,0xF,,HasVRF128
SAU,SUMX,v4i8,,Ri32,1,Rv4i8,0xF,,HasVRF128
//,,,,,,,,,
SAU,SUMX,u32,,Ru32,1,Rv4u32,0xF,,HasVRF128
SAU,SUMX,u16,,Ru32,1,Rv8u16,0xF,,HasVRF128
SAU,SUMX,u8,,Ru32,1,Rv16u8,0xF,,HasVRF128
SAU,SUMX,v4u8,,Ru32,1,Rv4u8,0xF,,HasVRF128
//,,,,,,,,,
SAU,SUMX,f32,,Rf32,1,Rv4f32,0xF,,HasVRF128
SAU,SUMX,f16,,Rf16,1,Rv8f16,0xF,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.8.45 SAU.XORX,,,,,,,,
//,,Element-wise XOR of vector,,,,,,,
SAU,XORX,x32,,Ri32,1,Rv4i32,,,HasVRF128
SAU,XORX,x16,,Ri16,1,Rv8i16,,,HasVRF128
SAU,XORX,x8,,Ri8,1,Rv16i8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.9 VAU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.1 VAU.ABS,,,,,,,,
//,,Long vector absolute value,,,,,,,
VAU,ABS,i32,,Rv4i32,1,Rv4i32,,,HasVRF128
VAU,ABS,i16,,Rv8i16,1,Rv8i16,,,HasVRF128
VAU,ABS,i8,,Rv16i8,1,Rv16i8,,,HasVRF128
VAU,ABS,f32,,Rv4f32,1,Rv4f32,,,HasVRF128
VAU,ABS,f16,,Rv8f16,1,Rv8f16,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.2 VAU.ACC,,,,,,,,
//,,Vector add/subtract accumulate with optional zeroing of the accumulator,,,,,,,
//VAU,ACCN,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,ACCN,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,ACCN,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,ACCN,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,ACCN,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,ACCN,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,ACCN,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,ACCN,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,ACCNZ,f32,,Rv4f32,1,Rv4f32,sideeffects,,
//VAU,ACCNZ,f16,,Rv8f16,1,Rv8f16,sideeffects,,
//VAU,ACCNZ,i32,,Rv4i32,1,Rv4i32,sideeffects,,
//VAU,ACCNZ,u32,,Rv4u32,1,Rv4u32,sideeffects,,
//VAU,ACCNZ,i16,,Rv8i16,1,Rv8i16,sideeffects,,
//VAU,ACCNZ,u16,,Rv8u16,1,Rv8u16,sideeffects,,
//VAU,ACCNZ,i8,,Rv16i8,1,Rv16i8,sideeffects,,
//VAU,ACCNZ,u8,,Rv16u8,1,Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,ACCP,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,ACCP,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,ACCP,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,ACCP,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,ACCP,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,ACCP,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,ACCP,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,ACCP,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,ACCPZ,f32,,Rv4f32,1,Rv4f32,sideeffects,,
//VAU,ACCPZ,f16,,Rv8f16,1,Rv8f16,sideeffects,,
//VAU,ACCPZ,i32,,Rv4i32,1,Rv4i32,sideeffects,,
//VAU,ACCPZ,u32,,Rv4u32,1,Rv4u32,sideeffects,,
//VAU,ACCPZ,i16,,Rv8i16,1,Rv8i16,sideeffects,,
//VAU,ACCPZ,u16,,Rv8u16,1,Rv8u16,sideeffects,,
//VAU,ACCPZ,i8,,Rv16i8,1,Rv16i8,sideeffects,,
//VAU,ACCPZ,u8,,Rv16u8,1,Rv16u8,sideeffects,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.3 VAU.ACCW,,,,,,,,
//,,Vector add/subtract accumulate with write to VRF,,,,,,,
//VAU,ACCNW,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,ACCNW,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,ACCNW,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,ACCNW,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,ACCNW,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,ACCNW,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,ACCNW,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,ACCNW,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
//,,,,,,,,,
//VAU,ACCPW,f32,,Rv4f32,2,Rv4f32.Rv4f32,sideeffects,,
//VAU,ACCPW,f16,,Rv8f16,2,Rv8f16.Rv8f16,sideeffects,,
//VAU,ACCPW,i32,,Rv4i32,2,Rv4i32.Rv4i32,sideeffects,,
//VAU,ACCPW,u32,,Rv4u32,2,Rv4u32.Rv4u32,sideeffects,,
//VAU,ACCPW,i16,,Rv8i16,2,Rv8i16.Rv8i16,sideeffects,,
//VAU,ACCPW,u16,,Rv8u16,2,Rv8u16.Rv8u16,sideeffects,,
//VAU,ACCPW,i8,,Rv16i8,2,Rv16i8.Rv16i8,sideeffects,,
//VAU,ACCPW,u8,,Rv16u8,2,Rv16u8.Rv16u8,sideeffects,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.4 VAU.ADD,,,,,,,,
//,,Vector addition with optional immediate operand,,,,,,,
VAU,ADD,f32,,Rv4f32,2,Rv4f32.Rv4f32,,,HasVRF128
VAU,ADD,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,ADD,f16,,Rv8f16,2,Rv8f16.Rv8f16,,,HasVRF128
VAU,ADD,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,ADD,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
//,,,,,,,,,
VAU,ADD,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,ADD,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,ADD,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.6 VAU.ADIFF,,,,,,,,
//,,Long vector absolute difference,,,,,,,
VAU,ADIFF,f32,,Rv4f32,2,Rv4f32.Rv4f32,,,HasVRF128
VAU,ADIFF,f16,,Rv8f16,2,Rv8f16.Rv8f16,,,HasVRF128
VAU,ADIFF,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,ADIFF,u32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,ADIFF,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,ADIFF,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,ADIFF,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,ADIFF,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.7 VAU.ALIGNBYTE,,,,,,,,
//,,Long vector align bytes within words,,,,,,,
VAU,ALIGNBYTE,,vrf,Rv4i32,3,Rv4i32.Rv4i32.#i2,notype.overload,int4,HasVRF128
VAU,ALIGNBYTE,,vrf,Rv8i16,3,Rv8i16.Rv8i16.#i2,notype.overload,short8,HasVRF128
VAU,ALIGNBYTE,,vrf,Rv16i8,3,Rv16i8.Rv16i8.#i2,notype.overload,char16,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.8 VAU.AND,,,,,,,,
//,,Bitwise AND,,,,,,,
VAU,AND,32,,Rv4i32,2,Rv4i32.Rv4i32,notype,,HasVRF128
VAU,AND,16,,Rv8i16,2,Rv8i16.Rv8i16,notype,,HasVRF128
VAU,AND,8,,Rv16i8,2,Rv16i8.Rv16i8,notype,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.9 VAU.AVG,,,,,,,,
//,,Integer average,,,,,,,
VAU,AVG,x32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,AVG,x16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,AVG,x8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.10 VAU.CMB,,,,,,,,
//,,Long vector combine,,,,,,,
//,,The 4 immediate operands are booleans and differ from the ISA document in the following ways:,,,,,,,
//,,,the value 0 or 'false' implies 'D',,,,,,
//,,,the value 1 or 'true' implies 'E',,,,,,
//,,,element number increases from left to right,,,,,,
VAU,CMBBYTE,,vrf,Rv4i32,6,Rv4i32.Rv4i32.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,int4,HasVRF128
VAU,CMBBYTE,,vrf,Rv8i16,6,Rv8i16.Rv8i16.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,short8,HasVRF128
VAU,CMBBYTE,,vrf,Rv16i8,6,Rv16i8.Rv16i8.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,char16,HasVRF128
VAU,CMBWORD,,vrf,Rv4f32,6,Rv4f32.Rv4f32.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,float4,HasVRF128
VAU,CMBWORD,,vrf,Rv4i32,6,Rv4i32.Rv4i32.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,int4,HasVRF128
VAU,CMBWORD,,vrf,Rv8i16,6,Rv8i16.Rv8i16.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,short8,HasVRF128
VAU,CMBWORD,,vrf,Rv16i8,6,Rv16i8.Rv16i8.#i1.#i1.#i1.#i1,srcdst.boolimm.notype.overload,char16,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.11 VAU.IADDS,,,,,,,,
//,,Long vector integer addition with saturation. Optional unsigned immediate operand,,,,,,,
VAU,IADDS,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,IADDS,u32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,IADDS,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,IADDS,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,IADDS,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,IADDS,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
//,,,,,,,,,
VAU,IADDS,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,IADDS,u32,,Rv4u32,2,Rv4u32.#u5,,,HasVRF128
VAU,IADDS,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,IADDS,u16,,Rv8u16,2,Rv8u16.#u5,,,HasVRF128
VAU,IADDS,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
VAU,IADDS,u8,,Rv16u8,2,Rv16u8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.12 VAU.ILMULH,,,,,,,,
//,,Long vector multiply returning higher-order result,,,,,,,
VAU,ILMULH,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,ILMULH,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,ILMULH,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,ILMULH,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,ILMULH,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.13 VAU.IMULS,,,,,,,,
//,,Long vector integer multiplication with saturation. Optional immediate operand,,,,,,,
VAU,IMULS,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,IMULS,u32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,IMULS,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,IMULS,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,IMULS,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,IMULS,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
//,,,,,,,,,
VAU,IMULS,i32,,Rv4i32,2,Rv4i32.#u5,,,HasVRF128
VAU,IMULS,u32,,Rv4u32,2,Rv4u32.#u5,,,HasVRF128
VAU,IMULS,i16,,Rv8i16,2,Rv8i16.#u5,,,HasVRF128
VAU,IMULS,u16,,Rv8u16,2,Rv8u16.#u5,,,HasVRF128
VAU,IMULS,i8,,Rv16i8,2,Rv16i8.#u5,,,HasVRF128
VAU,IMULS,u8,,Rv16u8,2,Rv16u8.#u5,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.9.14 VAU.ISUBS,,,,,,,,
//,,Long vector integer subtraction with saturation. Optional unsigned immediate operand,,,,,,,
VAU,ISUBS,i32,,Rv4i32,2,Rv4i32.Rv4i32,,,HasVRF128
VAU,ISUBS,u32,,Rv4u32,2,Rv4u32.Rv4u32,,,HasVRF128
VAU,ISUBS,i16,,Rv8i16,2,Rv8i16.Rv8i16,,,HasVRF128
VAU,ISUBS,u16,,Rv8u16,2,Rv8u16.Rv8u16,,,HasVRF128
VAU,ISUBS,i8,,Rv16i8,2,Rv16i8.Rv16i8,,,HasVRF128
VAU,ISUBS,u8,,Rv16u8,2,Rv16u8.Rv16u8,,,HasVRF128
//,,,,,,,,,
