// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
CMU,CLAMP0,i8,,Ri8,2,Ri8.Ri8,overload,char,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.3 CMU.CLAMPAB,,,,,,,,
//,,Clamp within range,,,,,,,
CMU,CLAMPAB,f32,v4f32,Rv4f32,3,Rv4f32.Rv4f32.Rv4f32,srcdst.overload,float4,HasVRF128
CMU,CLAMPAB,f16,v8f16,Rv8f16,3,Rv8f16.Rv8f16.Rv8f16,srcdst.overload,half8,HasVRF128
CMU,CLAMPAB,i32,v4i32,Rv4i32,3,Rv4i32.Rv4i32.Rv4i32,srcdst.overload,int4,HasVRF128
CMU,CLAMPAB,u32,v4u32,Rv4u32,3,Rv4u32.Rv4u32.Rv4u32,srcdst.overload,uint4,HasVRF128
CMU,CLAMPAB,i16,v8i16,Rv8i16,3,Rv8i16.Rv8i16.Rv8i16,srcdst.overload,short8,HasVRF128
CMU,CLAMPAB,u16,v8u16,Rv8u16,3,Rv8u16.Rv8u16.Rv8u16,srcdst.overload,ushort8,HasVRF128
CMU,CLAMPAB,i8,v16i8,Rv16i8,3,Rv16i8.Rv16i8.Rv16i8,srcdst.overload,char16,HasVRF128
CMU,CLAMPAB,u8,v16u8,Rv16u8,3,Rv16u8.Rv16u8.Rv16u8,srcdst.overload,uchar16,HasVRF128
CMU,CLAMPAB,f32,,Rf32,3,Rf32.Rf32.Rf32,srcdst.overload,float,
CMU,CLAMPAB,f16,,Rf16,3,Rf16.Rf16.Rf16,srcdst.overload,half,
CMU,CLAMPAB,i32,,Ri32,3,Ri32.Ri32.Ri32,srcdst.overload,int,
CMU,CLAMPAB,u32,,Ru32,3,Ru32.Ru32.Ru32,srcdst.overload,uint,
CMU,CLAMPAB,i16,,Ri16,3,Ri16.Ri16.Ri16,srcdst.overload,short,
CMU,CLAMPAB,u16,,Ru16,3,Ru16.Ru16.Ru16,srcdst.overload,ushort,
CMU,CLAMPAB,i8,,Ri8,3,Ri8.Ri8.Ri8,srcdst.overload,char,
CMU,CLAMPAB,u8,,Ru8,3,Ru8.Ru8.Ru8,srcdst.overload,uchar,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.4 CMU.CMASK,,,,,,,,
//,,Generate VRF mask from IRF contents,,,,,,,
CMU,CMASK,,v4i32,Rv4i32,1,Ri32,overload,int4,HasVRF128
CMU,CMASK,,v8i16,Rv8i16,1,Ri32,overload,short8,HasVRF128
CMU,CMASK,,v16i8,Rv16i8,1,Ri32,overload,char16,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.9 CMU.CPII,,,,,,,,
//,,IRF copy with optional conversion.,,,,,,,
CMU,CPII,u8f_f16,Raw,Rf16,1,Ru8,,,
CMU,CPII,f16_u8fs,Raw,Ru8,1,Rf16,,,
CMU,CPII,f16_u8s,Raw,Ru8,1,Rf16,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.17 CMU.CPVV,,,,,,,,
//,,VRF copy with optional conversion.,,,,,,,
CMU,CPVV,f16_u8fs,Raw,Rv8u8,1,Rv8f16,,,HasVRF128
CMU,CPVV,u8f_f16,Raw,Rv8f16,1,Rv8u8,,,HasVRF128
,,,,,,,,,
CMU,CPVV,u16_u8s,conv,Rv8u8,1,Rv8u16,,,HasVRF128
CMU,CPVV,f16_u8s,conv,Rv8u8,1,Rv8f16,,,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.22 CMU.MAX,,,,,,,,
//,,Maximum,,,,,,,
CMU,MAX,f32,v4f32,Rv4f32,2,Rv4f32.Rv4f32,overload,float4,HasVRF128
CMU,MAX,f16,v8f16,Rv8f16,2,Rv8f16.Rv8f16,overload,half8,HasVRF128
CMU,MAX,i32,v4i32,Rv4i32,2,Rv4i32.Rv4i32,overload,int4,HasVRF128
CMU,MAX,u32,v4u32,Rv4u32,2,Rv4u32.Rv4u32,overload,uint4,HasVRF128
CMU,MAX,i16,v8i16,Rv8i16,2,Rv8i16.Rv8i16,overload,short8,HasVRF128
CMU,MAX,u16,v8u16,Rv8u16,2,Rv8u16.Rv8u16,overload,ushort8,HasVRF128
